the_geom,OBJECTID,BusinessAddress,BusinessName,BusinessStartDate,BusinessType,City,LocationX,LocationY,State,Suite,Zip
POINT (-90.055356312636 29.967739845506),266,1001 MARIGNY ST,OLDE TOWN INN,2012-04-01,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3685478.07618,536015.155975,LA,,70117
POINT (-90.065697388107 29.967126205934),32,1244 ESPLANADE AVE,RATHB0NE MANSIONS,2017-08-11,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3682206.4084,535755.644103,LA,,70116
POINT (-90.032025155602 29.96221617807),91,833 POLAND AVE,LOOKOUT INN NEW ORLEANS,2013-06-05,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3692887.86205,534089.692165,LA,,70117
POINT (-90.072405222504 29.955106311948),285,1016 CANAL ST,SONDER USA,2020-10-02,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3680130.69384,531361.329858,LA,,70112
POINT (-90.07011423342 29.95075658391),347,360 ST CHARLES AVE,RESIDENCE INN BY MARRIOT,2019-07-08,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3680873.58472,529787.599297,LA,,70130
POINT (-90.067736931761 29.954573486532),75,214 ROYAL ST,MONTELEONE HOTEL,1968-01-01,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3681611.07157,531183.872066,LA,A,70130
POINT (-90.067841006151 29.957929592979),16,509 DAUPHINE ST,AUDUBON COTTAGES,2011-10-05,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3681564.63752,532403.911875,LA,,70116
POINT (-90.072656069827 29.951152110944),200,346 BARONNE ST,FAIRFIELD INN & SUITES,2016-06-08,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3680067.08187,529922.562625,LA,,70112
POINT (-90.063205079217 29.959863194197),292,905 ROYAL ST,905 ROYAL HOTEL,1999-01-01,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3683024.79112,533123.2825,LA,,70116
POINT (-90.099774818634 29.973262690926),129,120 S PIERCE ST,1896 O'MALLEY HOUSE,2005-04-01,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3671392.88167,537869.347913,LA,,70119-6033
POINT (-90.074406544216 29.973148605114),301,2216 ESPLANADE AVE,LA BELLE ESPLANADE,2012-06-29,4703 - BED & BREAKFAST INNS,NEW ORLEANS,3679424.8813,537915.214793,LA,,70119
POINT (-90.065338332795 29.96422422151),318,1119 N RAMPART ST,FRENCH QUARTER SUITES,2018-11-14,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3682331.76936,534701.63239,LA,,70116
POINT (-90.074630526234 29.937899352946),115,1525 PRYTANIA ST,PRYTANIA PARK HOTEL,1983-03-02,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3679494.77384,525096.502717,LA,,70130
POINT (-90.069719624619 29.957409242868),177,337 BURGUNDY ST,DAUZAT HOUSE,1992-09-01,4702 - ROOMING & BOARDING HOUSES,NEW ORLEANS,3680971.86677,532208.128515,LA,,70112
POINT (-90.075243150609 29.97358462261),48,2306 ESPLANADE AVE,DEGAS HOUSE,2005-01-01,4703 - BED & BREAKFAST INNS,NEW ORLEANS,3679158.27259,538070.858377,LA,,70119
POINT (-90.060376964851 29.965264034992),255,1830 DAUPHINE ST,1830 DAUPHINE HOUSE,1999-07-21,4703 - BED & BREAKFAST INNS,NEW ORLEANS,3683898.46607,535097.164806,LA,,70116
POINT (-90.05876614998 29.962824379334),291,547 ESPLANADE AVE,LANAUX MANSION,1997-06-01,4703 - BED & BREAKFAST INNS,NEW ORLEANS,3684418.35465,534215.685573,LA,,70116
POINT (-90.06817634301 29.955210999624),279,730 BIENVILLE ST,HOTEL MAZARIN,2018-12-18,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3681469.36956,531414.158723,LA,,70130
POINT (-90.076989294557 29.951922709288),319,10020 I-10 SERVICE RD,QUALITY INN,2018-12-22,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3678691.8167,530187.70942,LA,,70127
POINT (-90.067621256347 29.951096095671),57,201 MAGAZINE ST,HOSTEVA,2015-08-10,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3681661.66914,529919.769985,LA,,70130
POINT (-90.082302577666 29.923620938821),260,833 6TH ST,"THE DUCHESS, LLC",2009-06-11,4703 - BED & BREAKFAST INNS,NEW ORLEANS,3677121.64686,519877.745976,LA,,70115
POINT (-90.093971085683 29.927114539085),212,3626 ST CHARLES AVE,HAMPTON INN NEW ORLEANS-ST.CHARLES AVE./GARDEN DIS,2022-02-01,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3673411.84174,521107.980217,LA,,70115
POINT (-90.075811565894 29.935892183324),172,1748 PRYTANIA ST,ST CHARLES GUEST HOUSE,1981-06-15,4703 - BED & BREAKFAST INNS,NEW ORLEANS,3679128.7373,524362.516348,LA,,70130
POINT (-90.073981624158 29.938764903539),295,1415 PRYTANIA ST,1415 CREOLE GARDENS,2001-10-26,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3679696.82831,525413.506301,LA,,70130
POINT (-90.072394720726 29.949763203769),186,820 POYDRAS ST,DRURY INN NEW ORLEANS,2009-02-16,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3680155.40034,529418.415425,LA,,70112
POINT (-90.099313705466 29.927248285829),331,4125 ST CHARLES AVE,THE CHLOE,2020-12-29,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS,3671719.07156,521138.351225,LA,,70115
